query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1,1,xgboost,Sklearn,24674.81971,121.8824387,818940.2099,171.8695164,0,819112.1411
10,10,xgboost,Sklearn,24013.57222,117.9440022,111449.6787,166.7175293,0,111616.4527
100,100,xgboost,Sklearn,23685.86254,121.0744381,25293.2322,168.0679321,0,25461.36236
1000,1000,xgboost,Sklearn,23703.1846,122.1909523,5256.815195,160.3844166,0,5417.264223
10000,10000,xgboost,Sklearn,23605.37243,117.0799732,4458.326817,160.3446007,0,4618.737221
236750,236750,xgboost,Sklearn,23994.46988,117.1052456,4253.330231,159.9199772,0,4413.32078
1,1,xgboost,TreeLite,23512.44068,120.8190918,80616.72211,636.862278,1.220464706,81254.8697
10,10,xgboost,TreeLite,22975.19064,117.4714565,20100.1935,365.7002449,1.232624054,20467.22007
100,100,xgboost,TreeLite,23804.78764,121.0167408,8935.30798,356.6026688,1.391887665,9293.390512
1000,1000,xgboost,TreeLite,24034.70063,116.543293,7964.316368,362.9975319,1.256227493,8328.675508
10000,10000,xgboost,TreeLite,23689.62908,120.9731102,9222.369909,348.2196331,1.299381256,9575.154066
236750,236750,xgboost,TreeLite,23875.04816,116.9469357,8093.601227,159.8994732,1.221656799,8303.558826
1,1,xgboost,HummingbirdPytorchCPU,24054.15654,119.0524101,216836.2031,161.9815826,12008.5876,229006.8374
10,10,xgboost,HummingbirdPytorchCPU,24121.90008,121.8476295,56269.49286,156.0146809,11906.05569,68331.64954
100,100,xgboost,HummingbirdPytorchCPU,24077.986,118.6208725,27216.38918,165.4253006,11908.50711,39290.39264
1000,1000,xgboost,HummingbirdPytorchCPU,24168.11204,119.1956997,23770.44845,190.3555393,12034.25217,35995.13459
10000,10000,xgboost,HummingbirdPytorchCPU,24089.99038,119.6630001,52716.91322,158.3442688,11860.99911,64736.33671
236750,236750,xgboost,HummingbirdPytorchCPU,23790.91644,119.8806763,51889.81938,165.3385162,12037.37664,64092.61298
1,1,xgboost,HummingbirdTorchScriptCPU,24179.17371,121.3169098,110939.194,172.63937,12518.91708,123630.8184
10,10,xgboost,HummingbirdTorchScriptCPU,23594.25855,122.6396561,33512.15768,180.5582047,12079.78106,45772.56513
100,100,xgboost,HummingbirdTorchScriptCPU,23640.92422,117.7537441,22725.55256,162.191391,12109.61628,34997.43485
1000,1000,xgboost,HummingbirdTorchScriptCPU,23652.75741,116.98246,25145.40553,156.9104195,12720.83139,38023.22364
10000,10000,xgboost,HummingbirdTorchScriptCPU,24504.44126,118.942976,44433.83741,158.1938267,23526.75414,68118.85619
236750,236750,xgboost,HummingbirdTorchScriptCPU,24227.14472,121.7086315,43258.04114,160.8271599,274441.7617,317860.7085
1,1,xgboost,HummingbirdTVMCPU,24300.79341,119.4877625,137361.9928,362.5979424,36892.4334,174617.0948
10,10,xgboost,HummingbirdTVMCPU,24418.18619,118.6356544,20574.85223,358.9506149,18668.17927,39602.05388
100,100,xgboost,HummingbirdTVMCPU,24333.20856,122.1592426,8391.695499,355.9856415,34168.9074,42916.66102
1000,1000,xgboost,HummingbirdTVMCPU,23877.74062,116.6565418,7588.117838,363.909483,35735.38399,43687.49118
10000,10000,xgboost,HummingbirdTVMCPU,24025.64454,118.9947128,8485.179186,358.2708836,53427.04678,62270.576
236750,236750,xgboost,HummingbirdTVMCPU,23690.6786,117.1348095,8677.680731,345.0775146,279439.9991,288462.8479
236750,1,xgboost,TFDF,23836.83467,119.3768978,1994167.997,184.813261,59746.81091,2054099.695
236750,10,xgboost,TFDF,23516.51478,117.5017357,220678.4575,159.4965458,59540.53307,280378.5563
236750,100,xgboost,TFDF,24011.97433,118.9393997,46031.22067,163.8457775,57830.05166,104025.1822
236750,1000,xgboost,TFDF,22850.77786,117.5041199,32100.02995,167.1142578,58213.3646,90480.58033
236750,10000,xgboost,TFDF,23756.24371,117.4874306,35844.52605,169.522047,58826.73097,94840.83509
236750,236750,xgboost,TFDF,22638.6435,119.3964481,46200.71721,166.9948101,59587.07809,105954.8612
1,1,xgboost,ONNXCPU,24040.30275,119.2319393,23881.98519,175.6806374,871.3681698,24929.10576
10,10,xgboost,ONNXCPU,23562.49952,115.3402328,93810.71091,163.4399891,399.3868828,94373.62123
100,100,xgboost,ONNXCPU,23497.28703,116.2438393,4773.816347,166.0187244,394.135952,5334.08761
1000,1000,xgboost,ONNXCPU,23759.8145,114.869833,4881.431341,188.5251999,398.1430531,5468.172312
10000,10000,xgboost,ONNXCPU,24138.12804,116.9700623,5893.553495,165.5304432,398.0190754,6457.177162
236750,236750,xgboost,ONNXCPU,23991.59527,118.2582378,9963.80353,162.6479626,396.2292671,10522.75276